knowledge_profile_id,raw_disease,disease,raw_hindi_name,hindi_name,raw_marathi_name,marathi_name,raw_symptoms,symptoms,raw_diagnosis_and_tests,diagnosis_and_tests,raw_symptom_severity,symptom_severity,raw_duration_of_treatment,duration_of_treatment,raw_medical_history,medical_history,raw_current_medications,current_medications,raw_risk_factors,risk_factors,raw_environmental_factors,environmental_factors,raw_sleep_patterns,sleep_patterns,raw_stress_levels,stress_levels,raw_physical_activity_levels,physical_activity_levels,raw_family_history,family_history,raw_dietary_habits,dietary_habits,raw_allergies_food_env,allergies_food_env,raw_seasonal_variation,seasonal_variation,raw_age_group,age_group,raw_gender,gender,raw_occupation_and_lifestyle,occupation_and_lifestyle,raw_cultural_preferences,cultural_preferences,raw_herbal_alternative_remedies,herbal_alternative_remedies,raw_ayurvedic_herbs,ayurvedic_herbs,raw_formulation,formulation,raw_doshas,doshas,raw_constitution_prakriti,constitution_prakriti,raw_diet_and_lifestyle_recommendations,diet_and_lifestyle_recommendations,raw_yoga_and_physical_therapy,yoga_and_physical_therapy,raw_medical_intervention,medical_intervention,raw_prevention,prevention,raw_prognosis,prognosis,raw_complications,complications,raw_patient_recommendations,patient_recommendations,normalized_disease,symptom_tokens,symptom_token_count,dosha_vata,dosha_pitta,dosha_kapha,placeholder_missing_columns
kp_0037,Autosomal Dominant Polycystic Kidney Disease,Autosomal Dominant Polycystic Kidney Disease,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,"High blood pressure, kidney pain, frequent urination","High blood pressure, kidney pain, frequent urination","Ultrasound, Genetic Testing","Ultrasound, Genetic Testing",Severe,severe,Lifelong,Lifelong,"Genetic, Kidney disorders","Genetic, Kidney disorders","ACE inhibitors, Diuretics","ACE inhibitors, Diuretics","Family History, Hypertension","Family History, Hypertension","Genetic predisposition, High blood pressure","Genetic predisposition, High blood pressure",Irregular Sleep,irregular sleep,High Stress,high stress,Low,low,Family history of kidney disease,Family history of kidney disease,"Low-sodium, High-potassium","Low-sodium, High-potassium",None,,All seasons,all seasons,30-50 years,30-50 years,Both genders,all genders,"Sedentary lifestyle, Family care","Sedentary lifestyle, Family care",Avoids high-sodium foods,Avoids high-sodium foods,"Nettle Leaf, Dandelion","Nettle Leaf, Dandelion","Punarnava, Gokshura","Punarnava, Gokshura","Punarnava (3g), Warm water (200ml)","Punarnava (3g), Warm water (200ml)","Kapha, Pitta","Pitta, Kapha",Kapha-Prakriti,Kapha-Prakriti,Avoid salty foods; drink plenty of water to flush the system.,Avoid salty foods; drink plenty of water to flush the system.,"Pranayama, Yoga for Kidney Health","Pranayama, Yoga for Kidney Health","Kidney Transplant, Dialysis","Kidney Transplant, Dialysis",Regular Kidney Monitoring,Regular Kidney Monitoring,"Progressive, can lead to Kidney Failure","Progressive, can lead to Kidney Failure","Kidney Failure, Hypertension","Kidney Failure, Hypertension",Regular Kidney Monitoring,Regular Kidney Monitoring,autosomal dominant polycystic kidney disease,"[""high blood pressure"", ""kidney pain"", ""frequent urination""]",3,0,1,1,"[""allergies_food_env""]"
kp_0038,Back Pain,Back Pain,पीठ में दर्द,पीठ में दर्द,पाठीचा दुखणं,पाठीचा दुखणं,"Muscle stiffness, difficulty moving","Muscle stiffness, difficulty moving","X-rays, MRI, Physical Exam","X-rays, MRI, Physical Exam",Mild to Moderate,mild to moderate,Varies,Varies,"Injury, Poor posture, Sedentary lifestyle","Injury, Poor posture, Sedentary lifestyle","Pain relievers, Physical therapy","Pain relievers, Physical therapy","Poor Posture, Sedentary Lifestyle","Poor Posture, Sedentary Lifestyle","Poor posture, Lack of exercise","Poor posture, Lack of exercise",Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low to Moderate,low to moderate,Family history of back problems,Family history of back problems,"Balanced diet, High-protein","Balanced diet, High-protein",None,,All seasons,all seasons,20-60 years,20-60 years,Both genders,all genders,"Sedentary lifestyle, Office jobs","Sedentary lifestyle, Office jobs",Avoids lifting heavy weights,Avoids lifting heavy weights,"Turmeric, Ginger","Turmeric, Ginger","Guggulu, Ashwagandha","Guggulu, Ashwagandha",Mahanarayan oil (as needed),Mahanarayan oil (as needed),Vata,Vata,Vata-Prakriti,Vata-Prakriti,Avoid heavy lifting; practice stretching and yoga regularly.,Avoid heavy lifting; practice stretching and yoga regularly.,Yoga for Back Pain,Yoga for Back Pain,"Painkillers, Physical Therapy","Painkillers, Physical Therapy","Ergonomics, Exercise","Ergonomics, Exercise",Can Improve with Treatment,Can Improve with Treatment,"Herniated Disc, Nerve Damage","Herniated Disc, Nerve Damage","Proper Posture, Exercise","Proper Posture, Exercise",back pain,"[""muscle stiffness"", ""difficulty moving""]",2,1,0,0,"[""allergies_food_env""]"
kp_0039,Barth Syndrome,Barth Syndrome,बार्थ सिंड्रोम,बार्थ सिंड्रोम,बार्थ सिंड्रोम,बार्थ सिंड्रोम,"Muscle weakness, fatigue, delayed growth","Muscle weakness, fatigue, delayed growth","Genetic Testing, Blood Tests","Genetic Testing, Blood Tests",Severe,severe,Lifelong,Lifelong,"Genetic, Cardiovascular disorders","Genetic, Cardiovascular disorders","Supportive care, Heart medication","Supportive care, Heart medication","Genetic Mutation, Family History","Genetic Mutation, Family History","Genetic mutation, Stress","Genetic mutation, Stress",Poor Sleep,poor sleep,High Stress,high stress,Low,low,Family history of Barth Syndrome,Family history of Barth Syndrome,"Low-sodium, High-protein","Low-sodium, High-protein",None,,All seasons,all seasons,Childhood,childhood,Mostly Male,mostly male,Special medical care,Special medical care,Avoids high-stress environments,Avoids high-stress environments,None specific,None specific,"Arjuna, Ashwagandha","Arjuna, Ashwagandha","Shatavari (2g), Warm milk (200ml)","Shatavari (2g), Warm milk (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Include nutrient-dense foods and avoid strenuous activities.,Include nutrient-dense foods and avoid strenuous activities.,"Gentle Yoga, Cardiovascular Yoga","Gentle Yoga, Cardiovascular Yoga","Cardiac Support, Medications","Cardiac Support, Medications","Genetic Counseling, Monitoring","Genetic Counseling, Monitoring",Can be Managed with Medications,Can be Managed with Medications,"Cardiomyopathy, Heart Failure","Cardiomyopathy, Heart Failure",Regular Monitoring of Heart Health,Regular Monitoring of Heart Health,barth syndrome,"[""muscle weakness"", ""fatigue"", ""delayed growth""]",3,1,1,0,"[""allergies_food_env""]"
kp_0040,Arrhythmia,Arrhythmia,अरिदमिकता,अरिदमिकता,अरिदमिकता,अरिदमिकता,"Enlarged organs, low blood sugar, growth delays","Enlarged organs, low blood sugar, growth delays","Genetic Testing, Blood Tests","Genetic Testing, Blood Tests",Moderate to Severe,moderate to severe,Lifelong,Lifelong,"Heart diseases, Hypertension","Heart diseases, Hypertension","Beta-blockers, Calcium channel blockers","Beta-blockers, Calcium channel blockers","Genetic Mutations, Family History","Genetic Mutations, Family History","High caffeine intake, Sedentary lifestyle","High caffeine intake, Sedentary lifestyle",Poor Sleep,poor sleep,High Stress,high stress,Low to Moderate,low to moderate,Family history of heart disease,Family history of heart disease,"Low-sodium, High-potassium","Low-sodium, High-potassium",None,,All seasons,all seasons,40-70 years,40-70 years,Both genders,all genders,"Sedentary lifestyle, Desk jobs","Sedentary lifestyle, Desk jobs",Avoids alcohol and smoking,Avoids alcohol and smoking,None specific,None specific,"Ashwagandha, Brahmi","Ashwagandha, Brahmi","Triphala (1 tsp), Warm water (200ml)","Triphala (1 tsp), Warm water (200ml)",Kapha,Kapha,Kapha-Prakriti,Kapha-Prakriti,Avoid sugary foods; focus on a balanced diet and regular meals.,Avoid sugary foods; focus on a balanced diet and regular meals.,Physical Therapy for Developmental Delays,Physical Therapy for Developmental Delays,"Surgery, Hormonal Therapy","Surgery, Hormonal Therapy",Prenatal Screening,Prenatal Screening,Can be Managed with Treatment,Can be Managed with Treatment,"Tumors, Intellectual Disabilities","Tumors, Intellectual Disabilities","Regular Monitoring, Surgical Intervention","Regular Monitoring, Surgical Intervention",arrhythmia,"[""enlarged organs"", ""low blood sugar"", ""growth delays""]",3,0,0,1,"[""allergies_food_env""]"
kp_0041,Arthritis,Arthritis,गठिया,गठिया,संधिवात,संधिवात,"Vision loss, difficulty focusing","Vision loss, difficulty focusing","Eye Exam, Genetic Testing","Eye Exam, Genetic Testing",Moderate to Severe,moderate to severe,Lifelong,Lifelong,"Autoimmune diseases, Joint inflammation","Autoimmune diseases, Joint inflammation","NSAIDs, Corticosteroids","NSAIDs, Corticosteroids",Genetic Mutation,Genetic Mutation,"Weather changes, Joint strain","Weather changes, Joint strain",Poor Sleep,poor sleep,High Stress,high stress,Low to Moderate,low to moderate,Family history of joint disorders,Family history of joint disorders,"Anti-inflammatory, High-calcium","Anti-inflammatory, High-calcium",None,,"Winter, Rainy season","winter, rainy season",30-60 years,30-60 years,Both genders,all genders,"Sedentary lifestyle, Active","Sedentary lifestyle, Active",Avoids heavy physical activity,Avoids heavy physical activity,None specific,None specific,None specific,None specific,Triphala decoction (5ml),Triphala decoction (5ml),Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,Avoid eye strain; include Vitamin A-rich foods like carrots.,Avoid eye strain; include Vitamin A-rich foods like carrots.,"Eye Exercises, Vision Training","Eye Exercises, Vision Training","Vision Aids, Surgery","Vision Aids, Surgery",None,,Progressive Vision Loss,Progressive Vision Loss,"Vision Impairment, Macular Degeneration","Vision Impairment, Macular Degeneration",Regular Eye Checkups,Regular Eye Checkups,arthritis,"[""vision loss"", ""difficulty focusing""]",2,0,1,0,"[""allergies_food_env"", ""prevention""]"
kp_0042,Ascariasis,Ascariasis,ऐस्केरियासिस,ऐस्केरियासिस,ऐस्केरियासिस,ऐस्केरियासिस,"Seizures, skin rash, hearing loss","Seizures, skin rash, hearing loss","Blood Tests, Genetic Testing","Blood Tests, Genetic Testing",Moderate to Severe,moderate to severe,Lifelong,Lifelong,"Poor sanitation, Contaminated water","Poor sanitation, Contaminated water","Anthelmintics (Mebendazole, Albendazole)","Anthelmintics (Mebendazole, Albendazole)",Genetic Mutation,Genetic Mutation,"Poor sanitation, Contaminated food","Poor sanitation, Contaminated food",Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low,low,Family history of parasitic infections,Family history of parasitic infections,"Low-fat, High-carb diet","Low-fat, High-carb diet",None,,"Monsoon, Summer","monsoon, summer",All ages,all ages,Both genders,all genders,Exposure to unsanitary conditions,Exposure to unsanitary conditions,Avoids raw food,Avoids raw food,None specific,None specific,None specific,None specific,"Amalaki (10ml), Water (200ml)","Amalaki (10ml), Water (200ml)","Vata, Pitta","Vata, Pitta",Pitta-Prakriti,Pitta-Prakriti,Include biotin-rich foods like nuts and seeds.,Include biotin-rich foods like nuts and seeds.,None specific,None specific,Biotin Supplementation,Biotin Supplementation,"Early Detection, Screening","Early Detection, Screening",Can be Managed with Biotin,Can be Managed with Biotin,"Cognitive Impairment, Seizures","Cognitive Impairment, Seizures",Biotin Supplementation,Biotin Supplementation,ascariasis,"[""seizures"", ""skin rash"", ""hearing loss""]",3,1,1,0,"[""allergies_food_env""]"
kp_0043,Asparagine Synthetase Deficiency,Asparagine Synthetase Deficiency,ऐस्पैरेजिन सिंथेटेस की कमी,ऐस्पैरेजिन सिंथेटेस की कमी,ऐस्पैरेजिन सिंथेटेसची कमतरता,ऐस्पैरेजिन सिंथेटेसची कमतरता,"Fever, chest pain, cough","Fever, chest pain, cough","Blood Tests, Culture Test","Blood Tests, Culture Test",Severe,severe,6-12 months,6-12 months,Genetic metabolic disorders,Genetic metabolic disorders,"Enzyme replacement, Dietary management","Enzyme replacement, Dietary management",Exposure to Contaminated Soil,Exposure to Contaminated Soil,Genetic mutation,Genetic mutation,Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low,low,Family history of metabolic disorders,Family history of metabolic disorders,"High-protein, Low-fat","High-protein, Low-fat",None,,All seasons,all seasons,Childhood,childhood,Both genders,all genders,"Active lifestyle, Special care","Active lifestyle, Special care",Avoids high-protein foods,Avoids high-protein foods,None specific,None specific,"Neem, Turmeric","Neem, Turmeric","Turmeric (1/2 tsp), Honey (1 tsp)","Turmeric (1/ 2 tsp), Honey (1 tsp)","Kapha, Pitta","Pitta, Kapha",Kapha-Prakriti,Kapha-Prakriti,Avoid cold foods; consume warm soups and herbal teas.,Avoid cold foods; consume warm soups and herbal teas.,None specific,None specific,Antifungal Medications,Antifungal Medications,Avoid Exposure to Soil,Avoid Exposure to Soil,Can be Managed with Medication,Can be Managed with Medication,"Lung Damage, Skin Ulcers","Lung Damage, Skin Ulcers",Avoid Soil Contact,Avoid Soil Contact,asparagine synthetase deficiency,"[""fever"", ""chest pain"", ""cough""]",3,0,1,1,"[""allergies_food_env""]"
kp_0044,Aspartylglucosaminuria,Aspartylglucosaminuria,एस्पार्टाइलग्लूकोसामिन्यूरिया,एस्पार्टाइलग्लूकोसामिन्यूरिया,एस्पार्टाइलग्लूकोसामिन्यूरिया,एस्पार्टाइलग्लूकोसामिन्यूरिया,"Small stature, sensitivity to sunlight, skin rash","Small stature, sensitivity to sunlight, skin rash","Genetic Testing, Blood Tests","Genetic Testing, Blood Tests",Severe,severe,Lifelong,Lifelong,Genetic metabolic disorders,Genetic metabolic disorders,"Enzyme replacement, Symptomatic treatment","Enzyme replacement, Symptomatic treatment",Genetic Mutation,Genetic Mutation,"Genetic mutation, Poor protein metabolism","Genetic mutation, Poor protein metabolism",Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low,low,Family history of metabolic disorders,Family history of metabolic disorders,"High-protein, Low-carb","High-protein, Low-carb",None,,All seasons,all seasons,Childhood to Adult,childhood to adult,Both genders,all genders,"Active lifestyle, Medical care","Active lifestyle, Medical care",Avoids high-protein foods,Avoids high-protein foods,None specific,None specific,None specific,None specific,"Neem leaves (5g), Water (as needed)","Neem leaves (5g), Water (as needed)",Pitta,Pitta,Pitta-Prakriti,Pitta-Prakriti,Avoid direct sunlight; apply aloe vera gel for skin care.,Avoid direct sunlight; apply aloe vera gel for skin care.,None specific,None specific,Symptomatic Treatment,Symptomatic Treatment,None,,Increased Risk of Cancer,Increased Risk of Cancer,"Increased Cancer Risk, Short Stature","Increased Cancer Risk, Short Stature",Genetic Counseling,Genetic Counseling,aspartylglucosaminuria,"[""small stature"", ""sensitivity to sunlight"", ""skin rash""]",3,0,1,0,"[""allergies_food_env"", ""prevention""]"
kp_0045,Asthma,Asthma,अस्थमा,अस्थमा,अस्थमा,अस्थमा,"Pain, swelling, difficulty moving","Pain, swelling, difficulty moving","Physical Exam, X-ray, CT Scan","Physical Exam, X-ray, CT Scan",Mild to Severe,mild to severe,6-8 weeks (varies),6-8 weeks (varies),"Allergies, Respiratory infections","Allergies, Respiratory infections","Inhalers (Beta-agonists, Corticosteroids)","Inhalers (Beta-agonists, Corticosteroids)","Osteoporosis, Accidents","Osteoporosis, Accidents","Pollen, Dust, Pollution","Pollen, Dust, Pollution",Irregular Sleep,irregular sleep,High Stress,high stress,Low to Moderate,low to moderate,Family history of asthma,Family history of asthma,"Low-dairy, High-protein","Low-dairy, High-protein","Dust, Pollen, Pollution","Dust, Pollen, Pollution","Winter, Spring","winter, spring",All ages,all ages,Both genders,all genders,Exposure to allergens,Exposure to allergens,Favors natural remedies,Favors natural remedies,None specific,None specific,"Ashwagandha, Shallaki","Ashwagandha, Shallaki","Hadjod powder (2g), Warm water (200ml)","Hadjod powder (2g), Warm water (200ml)",Vata,Vata,Vata-Prakriti,Vata-Prakriti,Include calcium-rich foods; avoid cold foods and drinks.,Include calcium-rich foods; avoid cold foods and drinks.,"Stretching, Strengthening Exercises","Stretching, Strengthening Exercises","Casts, Surgery","Casts, Surgery","Fall Prevention, Calcium Intake","Fall Prevention, Calcium Intake","Heals with Treatment, Rare Complications","Heals with Treatment, Rare Complications","Malunion, Non-union","Malunion, Non-union","Adequate Rest, Bone Strengthening","Adequate Rest, Bone Strengthening",asthma,"[""pain"", ""swelling"", ""difficulty moving""]",3,1,0,0,[]
kp_0046,Atherosclerosis,Atherosclerosis,एथेरोस्क्लेरोसिस,एथेरोस्क्लेरोसिस,एथेरोस्क्लेरोसिस,एथेरोस्क्लेरोसिस,"Muscle weakness, difficulty swallowing, breathing","Muscle weakness, difficulty swallowing, breathing","Blood Tests, Stool Test","Blood Tests, Stool Test",Severe,severe,2-4 weeks,2-4 weeks,"High cholesterol, Hypertension","High cholesterol, Hypertension","Statins, Blood thinners","Statins, Blood thinners","Contaminated Food, Wound Infections","Contaminated Food, Wound Infections","High-fat diet, Smoking, Lack of exercise","High-fat diet, Smoking, Lack of exercise",Poor Sleep,poor sleep,High Stress,high stress,Low,low,Family history of heart disease,Family history of heart disease,"Low-fat, High-fiber","Low-fat, High-fiber",None,,All seasons,all seasons,40-70 years,40-70 years,Both genders,all genders,"Sedentary lifestyle, High-stress work","Sedentary lifestyle, High-stress work",Avoids fried foods,Avoids fried foods,None specific,None specific,None specific,None specific,"Turmeric (1g), Warm water (200ml)","Turmeric (1g), Warm water (200ml)","Kapha, Vata","Vata, Kapha",Kapha-Prakriti,Kapha-Prakriti,Avoid processed foods; stay hydrated and consume light meals.,Avoid processed foods; stay hydrated and consume light meals.,"Breathing Exercises, Physical Therapy","Breathing Exercises, Physical Therapy","Antitoxin, Supportive Care","Antitoxin, Supportive Care",Safe Food Practices,Safe Food Practices,Can be Treated with Antitoxin,Can be Treated with Antitoxin,"Respiratory Failure, Paralysis","Respiratory Failure, Paralysis",Proper Food Storage,Proper Food Storage,atherosclerosis,"[""muscle weakness"", ""difficulty swallowing"", ""breathing""]",3,1,0,1,"[""allergies_food_env""]"
kp_0047,Autosomal Dominant Polycystic Kidney Disease,Autosomal Dominant Polycystic Kidney Disease,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,ऑटोसोमल डॉमिनेंट पॉलीसिस्टिक किडनी रोग,"Lump in breast, skin changes, nipple discharge","Lump in breast, skin changes, nipple discharge","Mammogram, Biopsy, Ultrasound","Mammogram, Biopsy, Ultrasound",Severe,severe,6 months to lifelong,6 months to lifelong,"Genetic, Kidney disorders","Genetic, Kidney disorders","ACE inhibitors, Diuretics","ACE inhibitors, Diuretics","Family History, Hormonal Factors","Family History, Hormonal Factors","Genetic predisposition, High blood pressure","Genetic predisposition, High blood pressure",Irregular Sleep,irregular sleep,High Stress,high stress,Low,low,Family history of kidney disease,Family history of kidney disease,"Low-sodium, High-potassium","Low-sodium, High-potassium",None,,All seasons,all seasons,30-50 years,30-50 years,Both genders,all genders,"Sedentary lifestyle, Family care","Sedentary lifestyle, Family care",Avoids high-sodium foods,Avoids high-sodium foods,None specific,None specific,"Ashwagandha, Guggulu","Ashwagandha, Guggulu",Ashwagandha (5g daily),Ashwagandha (5g daily),Kapha,Kapha,Kapha-Prakriti,Kapha-Prakriti,Avoid fatty foods; include antioxidant-rich foods like berries.,Avoid fatty foods; include antioxidant-rich foods like berries.,"Yoga for Strength, Post-Surgery Rehab","Yoga for Strength, Post-Surgery Rehab","Surgery, Chemotherapy, Radiation","Surgery, Chemotherapy, Radiation","Regular Screening, Healthy Diet","Regular Screening, Healthy Diet",Can be Managed with Treatment,Can be Managed with Treatment,"Metastasis, Recurrence","Metastasis, Recurrence","Regular Screening, Healthy Lifestyle","Regular Screening, Healthy Lifestyle",autosomal dominant polycystic kidney disease,"[""lump in breast"", ""skin changes"", ""nipple discharge""]",3,0,0,1,"[""allergies_food_env""]"
kp_0048,Back Pain,Back Pain,पीठ में दर्द,पीठ में दर्द,पाठीचा दुखणं,पाठीचा दुखणं,"Persistent cough, mucus production, chest pain","Persistent cough, mucus production, chest pain","Physical Exam, Chest X-ray, Sputum Culture","Physical Exam, Chest X-ray, Sputum Culture",Mild to Moderate,mild to moderate,2-4 weeks,2-4 weeks,"Injury, Poor posture, Sedentary lifestyle","Injury, Poor posture, Sedentary lifestyle","Pain relievers, Physical therapy","Pain relievers, Physical therapy","Smoking, Air Pollution, Respiratory Infections","Smoking, Air Pollution, Respiratory Infections","Poor posture, Lack of exercise","Poor posture, Lack of exercise",Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low to Moderate,low to moderate,Family history of back problems,Family history of back problems,"Balanced diet, High-protein","Balanced diet, High-protein",None,,All seasons,all seasons,20-60 years,20-60 years,Both genders,all genders,"Sedentary lifestyle, Office jobs","Sedentary lifestyle, Office jobs",Avoids lifting heavy weights,Avoids lifting heavy weights,"Honey, Ginger","Honey, Ginger","Tulsi, Licorice","Tulsi, Licorice","Mulethi (3g), Warm water (200ml)","Mulethi (3g), Warm water (200ml)","Kapha, Vata","Vata, Kapha",Kapha-Vata,Kapha-Vata,Avoid cold drinks; inhale steam with eucalyptus oil.,Avoid cold drinks; inhale steam with eucalyptus oil.,"Breathing Exercises, Chest Therapy","Breathing Exercises, Chest Therapy","Bronchodilators, Antibiotics","Bronchodilators, Antibiotics","Avoid Smoking, Air Quality Control","Avoid Smoking, Air Quality Control",Can be Managed with Medication,Can be Managed with Medication,Chronic Obstructive Pulmonary Disease (COPD),Chronic Obstructive Pulmonary Disease (COPD),"Rest, Hydration","Rest, Hydration",back pain,"[""persistent cough"", ""mucus production"", ""chest pain""]",3,1,0,1,"[""allergies_food_env""]"
kp_0049,Barth Syndrome,Barth Syndrome,बार्थ सिंड्रोम,बार्थ सिंड्रोम,बार्थ सिंड्रोम,बार्थ सिंड्रोम,"Fever, joint pain, fatigue","Fever, joint pain, fatigue","Blood Test, Culture Test","Blood Test, Culture Test",Severe,severe,6-8 weeks,6-8 weeks,"Genetic, Cardiovascular disorders","Genetic, Cardiovascular disorders","Supportive care, Heart medication","Supportive care, Heart medication",Contact with Infected Animals,Contact with Infected Animals,"Genetic mutation, Stress","Genetic mutation, Stress",Poor Sleep,poor sleep,High Stress,high stress,Low,low,Family history of Barth Syndrome,Family history of Barth Syndrome,"Low-sodium, High-protein","Low-sodium, High-protein",None,,All seasons,all seasons,Childhood,childhood,Mostly Male,mostly male,Special medical care,Special medical care,Avoids high-stress environments,Avoids high-stress environments,None specific,None specific,None specific,None specific,"Giloy (5g), Warm water (200ml)","Giloy (5g), Warm water (200ml)","Kapha, Pitta","Pitta, Kapha",Kapha-Prakriti,Kapha-Prakriti,Avoid raw milk; include immunity-boosting herbs.,Avoid raw milk; include immunity-boosting herbs.,None specific,None specific,"Antibiotics, Supportive Care","Antibiotics, Supportive Care","Avoid Animal Contact, Hygiene","Avoid Animal Contact, Hygiene",Can be Managed with Antibiotics,Can be Managed with Antibiotics,"Osteoarticular Infections, Heart Valve Infection","Osteoarticular Infections, Heart Valve Infection","Regular Monitoring, Antibiotics","Regular Monitoring, Antibiotics",barth syndrome,"[""fever"", ""joint pain"", ""fatigue""]",3,0,1,1,"[""allergies_food_env""]"
kp_0050,Brugada Syndrome,Brugada Syndrome,ब्रुगाडा सिंड्रोम,ब्रुगाडा सिंड्रोम,ब्रुगाडा सिंड्रोम,ब्रुगाडा सिंड्रोम,"Fainting, irregular heartbeat, chest pain","Fainting, irregular heartbeat, chest pain","Electrocardiogram (ECG), Genetic Testing","Electrocardiogram (ECG), Genetic Testing",Severe,severe,Lifelong,Lifelong,"Genetic heart conditions, Arrhythmia","Genetic heart conditions, Arrhythmia",Anti-arrhythmic drugs,Anti-arrhythmic drugs,"Genetic Mutation, Family History","Genetic Mutation, Family History","Genetic, Emotional stress","Genetic, Emotional stress",Poor Sleep,poor sleep,High Stress,high stress,Low,low,Family history of heart disease,Family history of heart disease,"Low-sodium, High-potassium","Low-sodium, High-potassium",None,,All seasons,all seasons,20-50 years,20-50 years,Both genders,all genders,"Sedentary lifestyle, High-stress work","Sedentary lifestyle, High-stress work",Avoids alcohol and caffeine,Avoids alcohol and caffeine,None specific,None specific,None specific,None specific,"Arjuna (3g), Warm water (200ml)","Arjuna (3g), Warm water (200ml)","Vata, Pitta","Vata, Pitta",Vata-Prakriti,Vata-Prakriti,Avoid stress and caffeine; include magnesium-rich foods.,Avoid stress and caffeine; include magnesium-rich foods.,"Gentle Yoga, Stress Reduction","Gentle Yoga, Stress Reduction","Implantable Cardioverter Defibrillator (ICD), Medication","Implantable Cardioverter Defibrillator (ICD), Medication",Avoidance of Triggers,Avoidance of Triggers,Can be Managed with ICD or Medications,Can be Managed with ICD or Medications,Sudden Cardiac Arrest,Sudden Cardiac Arrest,Regular Monitoring of Heart Function,Regular Monitoring of Heart Function,brugada syndrome,"[""fainting"", ""irregular heartbeat"", ""chest pain""]",3,1,1,0,"[""allergies_food_env""]"
kp_0051,Bubonic Plague,Bubonic Plague,बुबोनिक प्लेग,बुबोनिक प्लेग,बुबोनिक प्लेग,बुबोनिक प्लेग,"Fever, chills, swollen lymph nodes","Fever, chills, swollen lymph nodes","Blood Test, Culture Test","Blood Test, Culture Test",Severe,severe,2-4 weeks,2-4 weeks,"Infection, Poor hygiene","Infection, Poor hygiene","Antibiotics (Streptomycin, Doxycycline)","Antibiotics (Streptomycin, Doxycycline)","Flea Bites, Contact with Infected Animals","Flea Bites, Contact with Infected Animals","Poor sanitation, Rodent exposure","Poor sanitation, Rodent exposure",Irregular Sleep,irregular sleep,Moderate Stress,moderate stress,Low,low,No family history,No family history,"Balanced, High-protein","Balanced, High-protein",None,,"Winter, Rainy season","winter, rainy season",All ages,all ages,Both genders,all genders,"Poor sanitation, Rural areas","Poor sanitation, Rural areas",Avoids crowded areas,Avoids crowded areas,None specific,None specific,None specific,None specific,"Neem (5g), Turmeric (2g)","Neem (5g), Turmeric (2g)","Kapha, Pitta","Pitta, Kapha",Kapha-Prakriti,Kapha-Prakriti,Practice hygiene; avoid crowded places and eat light meals.,Practice hygiene; avoid crowded places and eat light meals.,None specific,None specific,"Antibiotics, Supportive Care","Antibiotics, Supportive Care","Avoid Flea Bites, Rodent Control","Avoid Flea Bites, Rodent Control",Treatable with Antibiotics,Treatable with Antibiotics,"Septicemia, Organ Failure","Septicemia, Organ Failure","Good Hygiene, Avoid Rodent Areas","Good Hygiene, Avoid Rodent Areas",bubonic plague,"[""fever"", ""chills"", ""swollen lymph nodes""]",3,0,1,1,"[""allergies_food_env""]"
