condition,claim_id,claim_type,claim_summary,dataset_derived_status,external_source_status,supporting_source,source_locator_or_section,source_supports_complete_claim,safety_relevance,limitations,eligible_for_phase7_rule_creation
Common Cold,KC-DATA-KP_0006-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0006.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Common Cold,KC-DATA-KP_0006-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0006.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Common Cold,KC-DATA-KP_0006-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0006.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0114.,dataset_derived,not_externally_checked,,,not_applicable,caution,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-DOSHA,dataset_dosha_association,Dataset-assigned Dosha tags: Pitta retained from knowledge profile kp_0114.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0114.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0114.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Gastroesophageal Reflux Disease,KC-DATA-KP_0114-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0114.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Gastroesophageal Reflux Disease,KC-GERD-REF-SAFE-001,referral_consideration,"NHS advises GP assessment when self-care and pharmacy measures do not help, heartburn occurs most days, or swallowing difficulty, frequent vomiting, or unexplained weight loss occurs.",not_dataset_derived,reference_checked,NHS: Heartburn and acid reflux | https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,Non-urgent advice: See a GP if,yes,referral,UK NHS referral wording; chest symptoms still require separate emergency assessment outside this claim.,yes
Gastroesophageal Reflux Disease,KC-GERD-REF-SELF-001,general_self_care,"NHS lists smaller, more frequent meals and avoiding personally triggering foods or drinks as measures that may reduce heartburn.",not_dataset_derived,reference_checked,NHS: Heartburn and acid reflux | https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,How you can ease heartburn and acid reflux yourself,yes,general,General measures only; persistent symptoms require assessment.,yes
Gastroesophageal Reflux Disease,KC-GERD-REF-SYM-001,symptom,The main acid-reflux symptoms listed by NHS are heartburn and an unpleasant sour taste in the mouth.,not_dataset_derived,reference_checked,NHS: Heartburn and acid reflux | https://www.nhs.uk/conditions/heartburn-and-acid-reflux/,Symptoms of acid reflux,yes,none,Symptoms are not specific and do not establish a diagnosis.,no
Insomnia,KC-DATA-KP_0010-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0010.,dataset_derived,not_externally_checked,,,not_applicable,caution,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0010-DOSHA,dataset_dosha_association,"Dataset-assigned Dosha tags: Vata, Pitta retained from knowledge profile kp_0010.",dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0010-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0010.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0010-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0010.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0010-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0010.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0150-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0150.,dataset_derived,not_externally_checked,,,not_applicable,caution,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0150-DOSHA,dataset_dosha_association,Dataset-assigned Dosha tags: Vata retained from knowledge profile kp_0150.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0150-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0150.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0150-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0150.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-DATA-KP_0150-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0150.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Insomnia,KC-INSOMNIA-REF-SAFE-001,referral_consideration,"NHS advises GP assessment when sleep-habit changes have not helped, sleeping difficulty has lasted for months, or insomnia makes daily life hard to cope with.",not_dataset_derived,reference_checked,NHS: Insomnia | https://www.nhs.uk/conditions/insomnia/,Non-urgent advice: See a GP if,yes,referral,General UK NHS referral advice; it is not an emergency or mental-health triage rule.,yes
Insomnia,KC-INSOMNIA-REF-SELF-001,general_self_care,"NHS sleep-habit advice includes keeping a consistent wake time, relaxing before bed, and making the bedroom dark and quiet.",not_dataset_derived,reference_checked,NHS: Insomnia | https://www.nhs.uk/conditions/insomnia/,How you can treat insomnia yourself,yes,general,General sleep-habit advice; it does not address every cause of insomnia.,yes
Insomnia,KC-INSOMNIA-REF-SYM-001,symptom,"Insomnia may involve difficulty falling asleep, repeated waking, early waking, tiredness after waking, daytime irritability, or difficulty concentrating because of tiredness.",not_dataset_derived,reference_checked,NHS: Insomnia | https://www.nhs.uk/conditions/insomnia/,Symptoms of insomnia,yes,none,A symptom summary only; causes and other sleep disorders require assessment.,no
Osteoarthritis,KC-DATA-KP_0226-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0226.,dataset_derived,not_externally_checked,,,not_applicable,caution,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Osteoarthritis,KC-DATA-KP_0226-DOSHA,dataset_dosha_association,"Dataset-assigned Dosha tags: Vata, Kapha retained from knowledge profile kp_0226.",dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Osteoarthritis,KC-DATA-KP_0226-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0226.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Osteoarthritis,KC-DATA-KP_0226-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0226.,dataset_derived,not_externally_checked,,,not_applicable,general,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Osteoarthritis,KC-DATA-KP_0226-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0226.,dataset_derived,not_externally_checked,,,not_applicable,none,Dataset-derived and medically unverified; not eligible for a clinical rule.,no
Osteoarthritis,KC-OA-REF-SAFE-001,referral_consideration,NHS advises GP assessment for persistent symptoms of osteoarthritis.,not_dataset_derived,reference_checked,NHS: Osteoarthritis | https://www.nhs.uk/conditions/osteoarthritis/,Symptoms of osteoarthritis,yes,referral,General UK NHS advice; it does not define urgent joint presentations.,yes
Osteoarthritis,KC-OA-REF-SELF-001,general_self_care,"NHS lists regular exercise and, when applicable, weight reduction among measures that can help manage mild osteoarthritis symptoms.",not_dataset_derived,reference_checked,NHS: Osteoarthritis | https://www.nhs.uk/conditions/osteoarthritis/,Treating osteoarthritis,yes,general,Exercise should be individualized; this claim does not specify an exercise prescription.,yes
Osteoarthritis,KC-OA-REF-SYM-001,symptom,"Osteoarthritis commonly involves joint pain, stiffness, and problems moving the affected joint.",not_dataset_derived,reference_checked,NHS: Osteoarthritis | https://www.nhs.uk/conditions/osteoarthritis/,Symptoms of osteoarthritis,yes,none,Symptoms overlap with other joint conditions and are not diagnostic alone.,no
