condition,claim_id,claim_type,claim_summary,evidence_status,phase6_rule_eligible,converted_to_rule,rule_ids,source_profile_id,source_ids,supporting_source_urls,source_locators,complete_claim_supported,safety_relevance,conversion_reason,limitations
Insomnia,KC-INSOMNIA-REF-SELF-001,general_self_care,"NHS sleep-habit advice includes keeping a consistent wake time, relaxing before bed, and making the bedroom dark and quiet.",reference_checked,yes,yes,R-INSOMNIA-SELFCARE-001,,SRC-NHS-INSOMNIA,https://www.nhs.uk/conditions/insomnia/,How you can treat insomnia yourself,yes,general,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",General sleep-habit advice; it does not address every cause of insomnia.
Insomnia,KC-INSOMNIA-REF-SYM-001,symptom,"Insomnia may involve difficulty falling asleep, repeated waking, early waking, tiredness after waking, daytime irritability, or difficulty concentrating because of tiredness.",reference_checked,no,no,,,SRC-NHS-INSOMNIA,https://www.nhs.uk/conditions/insomnia/,Symptoms of insomnia,yes,none,Reference-checked descriptive symptom knowledge does not itself contain a complete testable condition-and-action pair.,A symptom summary only; causes and other sleep disorders require assessment.
Osteoarthritis,KC-DATA-KP_0226-COMPLICATION,dataset_complication_text,Dataset complication text retained from knowledge profile kp_0226.,dataset_derived,no,no,,kp_0226,,,,,caution,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Osteoarthritis,KC-DATA-KP_0226-DOSHA,dataset_dosha_association,"Dataset-assigned Dosha tags: Vata, Kapha retained from knowledge profile kp_0226.",dataset_derived,no,no,,kp_0226,,,,,none,Dataset-assigned Dosha association is medically unverified and is retained for provenance only; Phase 7 does not infer or resolve Dosha.,Dataset-derived and medically unverified; not eligible for a clinical rule.
Osteoarthritis,KC-DATA-KP_0226-LIFESTYLE,dataset_lifestyle_text,Dataset diet and lifestyle text retained from knowledge profile kp_0226.,dataset_derived,no,no,,kp_0226,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Osteoarthritis,KC-DATA-KP_0226-PREVENT,dataset_prevention_text,Dataset prevention text retained from knowledge profile kp_0226.,dataset_derived,no,no,,kp_0226,,,,,general,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Osteoarthritis,KC-DATA-KP_0226-SYM,dataset_symptom_profile,Dataset symptom text retained from knowledge profile kp_0226.,dataset_derived,no,no,,kp_0226,,,,,none,"Dataset-derived text has not been externally checked for this complete claim; it is not converted into clinical, safety, referral, or prescribing logic.",Dataset-derived and medically unverified; not eligible for a clinical rule.
Osteoarthritis,KC-OA-REF-SAFE-001,referral_consideration,NHS advises GP assessment for persistent symptoms of osteoarthritis.,reference_checked,yes,yes,R-OA-REFERRAL-001,,SRC-NHS-OA,https://www.nhs.uk/conditions/osteoarthritis/,Symptoms of osteoarthritis,yes,referral,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",General UK NHS advice; it does not define urgent joint presentations.
Osteoarthritis,KC-OA-REF-SELF-001,general_self_care,"NHS lists regular exercise and, when applicable, weight reduction among measures that can help manage mild osteoarthritis symptoms.",reference_checked,yes,yes,R-OA-SELFCARE-001,,SRC-NHS-OA,https://www.nhs.uk/conditions/osteoarthritis/,Treating osteoarthritis,yes,general,"Converted because the exact reference-checked claim supplies a bounded, testable condition and safe information action.",Exercise should be individualized; this claim does not specify an exercise prescription.
Osteoarthritis,KC-OA-REF-SYM-001,symptom,"Osteoarthritis commonly involves joint pain, stiffness, and problems moving the affected joint.",reference_checked,no,no,,,SRC-NHS-OA,https://www.nhs.uk/conditions/osteoarthritis/,Symptoms of osteoarthritis,yes,none,Reference-checked descriptive symptom knowledge does not itself contain a complete testable condition-and-action pair.,Symptoms overlap with other joint conditions and are not diagnostic alone.
